invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
081424-3501-184550,2024-08-14,235.94,119,"iwillink 48 Port, RJ45 Through Coupler Cat6 Patch Panel, 2U",6.11,75.99,"UTP Patch Panel 19-Inch with Back Bar, Wallmount or Rackmount,
Compatible with Cat5, Cat5e, Cat6 Cabling
Item Qty Bid Amount Premium Fee Tax Total
【Toolless Termination】Iwillink Cat6 pass through Patch Panel came with couplers making it easier to connect the
cables without any punching down|Simply plug the Cat6 cable into the RJ45 coupler jacks on either side of the Ethernet
RJ45 patch panel|【Gold Plated Keystone】Gold-plated contacts ensure corrosion-free connections and improve connector durability|This
rack patch panel meets and exceeds industry standards to support better network connections up to 10G Ethernet speed
(Cable length limit to 35m-55m)|【Rack Mountable】Install this Ethernet RJ45 patch panel 48 port in a standard 2U (3|5"") height universal 19"" rack,
cabinet or wall bracket|【Easy Repair】The patch panel 48 port are removable if necessary for replacement or upgrade|Meanwhile, if need
expand in the future, you can easliy replace cat6 coupler with other coupler such as fiber adaptor, coax coupler, HDMI,
VGA and so on|【Detachable Back Bar】This keystone patch panel wall mount is made of cold-rolled thick steel coverd by strong,
painting and sanding ABS surface|It can effectively improve the working stability of the network connection port, and
avoid the occurrence of network failures caused by loose cornerstones and loose cables",Tools & Hardware,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,138,"Neewer Heavy Duty Light Stand with Casters, Adjustable",31.79,159.99,"Tripod Stand with 100% Stainless Steel, Photography Wheeled
Base Stand for Studio Softbox, Monolight, Reflector, Max Height:
10ft/305cm
【Tripod Stand with 360° Casters】 Equipped with 360° swivel casters for convenient mobility, this rolling tripod from
Neewer allows you to glide your heavy equipment on the floor without dragging and lifting|Step-on brakes lock the
casters and keep the tripod stationary while in use|Rubber wheels protect the floor from scratches
【Solid Construction】 This durable tripod can support photographic equipment up to 66lb (30kg)|Corrosion-resistant
stainless steel construction withstands moisture, high temperature, and shocks, making this tripod suitable for use in
different weather conditions
【Adjustable Height】 The 3-section telescopic tripod can extend from 4|3’ to 10’ (130 to 305cm) for a wide variety of
height configurations and fold down to 3|9’ (120cm) for easy storage and carrying|The comfortable foam pad gives you a
firm grip and prevents the tripod from slipping in transit
【Folding Legs & Buffer Spring】 Invertible tripod legs can fold up flat for space-saving storage and effortless
transportation|The inbuilt spring-loaded mechanism offsets the impact of sudden drops so as to protect your devices from
damages
【Universal Compatibility】 The universal spigot mounts strobes, monolights, ring lights, reflectors, softboxes, and others|Ideal for shooting indoors and outdoors, this rolling tripod is essential for photographers, videographers, filmmakers, and
the likes
Item Qty Bid Amount Premium Fee Tax Total",Home & Garden,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,147,Madison Park Pansy Grey Tufted Chenille Bedding,15.89,100.3,No additional description provided in the invoice.,Home & Garden,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,151,Wall Sconce,9.78,100.3,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,172,2 Pack Vantage 14.875-in W x 62.875-in H Charcoal Exterior,6.11,100.3,"Shutters
Designed with a deep wood-grain texture for the appearance of wood shutters without the maintenance worries of wood|Durable copolymer construction features molded-through color so that there is no paint to ever scratch, flake, or fade|Our
shutters install on any surface: wood, vinyl, stucco, brick, or fiber cement|Clean with mild detergent/hose off|Includes 12
Presslok® fasteners for installation|Requires drill with 1/4 In|masonry bit|Made in the USA",Tools & Hardware,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,181,"JOPHUN Handrails for Outdoor, Garden, Yard or Porch",7.34,157.6,Item Qty Bid Amount Premium Fee Tax Total,Home & Garden,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,184,"Regency Fusion Wire Management C-Leg Base, Black",13.45,157.6,"C-Legs are unique to the Fusion collection and offer a concealed wire management solution
Vented compartment with removable cover on each Leg for wires to run Inside legs and up to desktops for instant
connectivity
Constructed of a Sturdy metal with a sylish Black Finish to match any decor
Adjustable Glides Ensure a level worksurface",Tools & Hardware,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,185,MSI 12 In. X 24 In. Heavy Duty Carbon Matte Floor And Wall,11.0,67.48,"Tile (14 Sq|/Case)
Features a matte black stone look with a flat edge
Perfect for Kitchen, Bathroom, Shower or Fireplace
Made for commercial/residential indoor/outdoor use",Home & Garden,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,188,11x14 Picture Frame Blue (1 Pack),3.67,47.62,No additional description provided in the invoice.,Home & Garden,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,189,Humble + Haute Sunbrella Canvas Navy Seat Cushion,3.67,47.62,Item Qty Bid Amount Premium Fee Tax Total,Art & Crafts,NEW,,0.0
081424-3501-184550,2024-08-14,235.94,191,Dorman 749-508 Front Driver Side Power Window Regulator,3.67,47.62,"(Regulator Only)
Improved replacement - this window regulator and motor assembly features enhancements over the factory part for
greater reliability
Failure-resistant design - features cable tension springs to resist cable reel binding caused by a stretched cable
Enhanced components - also includes cable guides to eliminate high cable tension and reduce cable stretching
Trustworthy quality - backed by a team of product experts in the United States and more than a century of automotive
experience",Electronics & Technology,NEW,,0.0
