invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
100424-3501-192429,2024-10-04,146.71,267,Tesla Model Y Floor Mats 6pcs,1.22,42.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,279,"ChrisDowa 100% Blackout Roller Shade, Window Blind with",1.22,42.99,"Thermal Insulated, UV Protection Fabric|Total Blackout Roller
Blind for Office and Home|Easy to Install|White,39"" W x 72"" H
CLASSIC & SAFETY DESIGN: Our shade blind features a crisp & modern look equipped with metal chain and aluminum
bottom rod|To ensure safety to your family, we provide a safety device to attach the chain to the wall and all the relevant
safety instructions|MULTIPLE FUNCTIONS: Our office roller shade blocks out 100% sunlight and UV rays|The thermal insulated backing
can reduce room heat and cold loss through window during winter and summer, helping cut your energy bills|It also
works well in noise reducing and privacy protection|Great for bedroom, living room, bathroom, kitchen, French door and
office|MEASUREMENT: The fabric width is 1” narrower than the total roller width, due to the brackets at the both ends|For
inside mount, window frame should have at least 2” depth, and blackout roller shades will have a tiny light gap on each
side|To avoid light gap, consider the outside mount|For outside mount, shade should be 4” - 6” wider than window frame,
shade length should be at least 2” longer than the window length for better coverage",Sports & Recreation,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,292,Oxdigi Tension Shower Doorway Curtain Rod/Adjustable,1.22,36.09,"7 inches No Drilling Window Curtain Rod for Bathroom
Item Qty Bid Amount Premium Fee Tax Total
CREATE YOUR PRIVATE SPACE: Our large room divider tension rod are sometimes used in your living room,bedroom|To spice up your house, create a private space and make full use of your space|No disturbing|FAIRLY EASY TO INSTALL: This room divider tension rods use unique and button design, lock in position in a minute,
you will never experience tension cutain rod will fell down|Very easy to adjust the length|Suitable for both of smooth and
rough surface like wallpaper wall, tile wall, wooden frame|HEAVY DUTY & STRONG HOLD: Our heavy duty room divider tension rod can hold heavy blackout shell curtain and also
can used as drying rack too|Strongly hold with clear rubber end grips|This Curtain Tension Rod is no drilling required, no
worry about scratching or damaging the installation surface",Home & Garden,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,307,Handua Fits 24x24 Duct Opening | Steel Return Air Filter,1.22,89.94,"Grille by Handua [Removable Door] for 1-inch Filters | Vent Cover
Grill | White | HVAC Cold Air Intake Grille | Outer Dimensions: 26
5/8""W X 26 5/8""H
EFFICIENT AIRFLOW - Enjoy a quiet and efficient airflow for your HVAC system with our air filter grille|40 degree angled
fins ensures maximum airflow|It is designed to minimize noise while maximizing air intake, ensuring a peaceful and
comfortable environment in your home|Maximize efficiency by pairing this grille with Handua air filters|Search for
MERV8: B0BSCDSBKH, MERV11: B0BSCG12JY and MERV13: B0BSCFSXZW on Amazon for easy purchase|DURABLE CONSTRUCTION - Crafted from high quality steel with durable powder paint coated, this cold air return grill
ensures robustness and long-lasting performance|The steel is stamped so there is no sharp edges|Its sturdy
construction ensures long-term durability, making it a reliable choice for both residential and commercial applications|ENHANCE HOME AESTHETICS - Embodying a powder-coated finish, the ac return grille exhibits resilience against
flaking, scratching, and fading, granting your home or office space a contemporary appearance while maintaining a
refreshing atmosphere|The door/face is removable for easy filter change and cleaning|EASY INSTALLATION & OPERATION - Installing this metal return vent cover grille is a breeze, with simple, hassle-free
mounting options and included screws|Enjoy a quick and straightforward setup to enhance your home's ventilation|Our
return air filter grilles do not require screwdriver to open, you can easily open the latch with a finger move",Automotive,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,308,Face Down Pillow After Eye Surgery - Home Massage Pillow,2.45,57.99,"Face Down for Bed, BBL Pillow After Surgery Stomach Sleeping
Pillow with Shredded Memory Foam
Item Qty Bid Amount Premium Fee Tax Total
【Best After Surgery Pillow】Unique hole design of the prone pillow helps patients maintain a face-down position, which
is crucial for proper healing after eye surgery|This position facilitates postoperative recovery from a variety of procedures,
including vitrectomy, macular holes and retinal detachment or BBL surgery|【Avoidance of Wound Contact】The precisely contoured support of the eye pillow ensures that your face rests
comfortably in the designated area, preventing any inadvertent contact with the surgical wound or sensitive eye region|This feature is essential for reducing the risk of complications during the critical healing phase|【Support and Comfort】Say goodbye to discomfort and pressure points|HOMCA contoured pillow provides ample
support for the head, shoulders, and chest, keeping the spine aligned and reducing the neck and lower back pain of
sleeping on your stomach|At the same time, the airflow gap can be adjusted at the bottom to ensure smooth breathing|【Multipurpose Pillow】This versatile surgery pillow can also be used as a massage pillow, or any other scenario where
you need to face down, such as Physiotherapy, Chiropractic treatments, quick naps at your office desk or stomach sleep
at night|【Shredded Memory Foam Fill】Our CertiPUR-US certified memory foam pieces are filled in a velvet pillowcase for
softness and support|The dustproof inner cover effectively extends the service life of the pillow core, while the hidden zip
makes it easy to clean the pillowcase|(Machine/hand washable)",Electronics & Technology,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,319,Bike Bunk for Cargo Tray - Adjustable A-Frame Trailer Bike,2.45,159.99,"Frame, 100 lbs Weight Capacity, Black
【Adjustable Design】:The height of the travel trailer bike rack can be adjusted from 20-34'', the vertical curved legs are
designed to fit the A-frame width range of 20-56'', the receiver is 2 inches|【Widely Adaptable to A-Frame Trailers】:Trailer Tongue Bike Racks are designed to fit most A-frame trailers|The raised
receiver on the A-frame provides the perfect place to securely hold your bikes|It's a wonderful solution for safely
transporting your bikes while freeing up space on your trailer|The trailer tongue bike racks are designed to fit most A-
frame trailers|【High Quality Heavy Duty Steel Construction】High strength, high wear resistant premium steel can support up to
100lbs, which means the camper bike rack can be used for a long time without deformation or damage|【Improvement of efficiency】: By transporting two bicycles at a time and loading and unloading them as a whole, it is
convenient and time-saving, and can effectively improve the transport efficiency|【Efficient Installation】: RV Bike Rack for Trailer comes with detailed installation instructions that provide clear steps and
diagrams to guide you through the installation process",Sports & Recreation,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,322,"WILDFIX Shocks, Zinc Plated Coating",6.11,99.95,Item Qty Bid Amount Premium Fee Tax Total,Clothing & Accessories,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,323,Sports Weighted Vest,3.67,99.95,No additional description provided in the invoice.,Sports & Recreation,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,324,Vatima Large Wicker Basket Rectangular with Wooden,14.67,99.95,"Handles for Shelves, Water Hyacinth Basket Storage, Natural
Baskets for Organizing, Wicker Baskets for Storage 14|5 inches - 3 Pack
✅ Wicker Baskets - Whether it be by way of pure decor, storage, or organization for kitchen, pantry, or bathroom|This
natural Water Hyacinth basket suit your home in every way|The rectangular storage basket is great for magazines,
games, pet toys, media, household items|✅ Natural & High Quality - Made of 100% natural Water Hyacinth|Our large storage wicker baskets were carefully
handcrafted to perfection|Wicker Baskets come with an iron frame for sturdy storage|The wooden handles on both sides
are not only pretty but to help you easy to carry the wicker basket|✅ Decorative Wicker Baskets - natural Water Hyacinth basket is an easy and affordable way to change the style of your
home|With it's natural design, the basket wicker make nice neutral backdrops and can brighten your day as well as
impress your guests|✅ Large Wicker Baskets - 14|These large rectangular baskets are convenient and easy to storage
for drawers, shelves, desks, or anywhere in the house|Please kindly make allowances for slight variations due to the
handcrafted nature of these goods|Just use a damp cloth and wipe it gently for cleaning",Home & Garden,NEW,,0.0
100424-3501-192429,2024-10-04,146.71,325,"ChrisDowa Light Filtering Roller Shades, with 5% Openness",1.22,57.99,"Solar Screen, Flame Retardant Fabric|Solar Semi Sheer Roller
Blinds for Office and Home|Easy to Install|Off White,40"" W x 72"" H
Item Qty Bid Amount Premium Fee Tax Total
CLASSIC & SAFETY DESIGN: Our solar blind features an even & more polished look equipped with metal chain and
aluminum bottom rod|To ensure safety to your family, we provide a safety device to attach the chain to the wall, which
keeps cords and bead chain out of children and pets|MULTIPLE FUNCTIONS: Our roller window shades have a 5% openness, which indicates the quantity of light that the
shade will let in|Our beautiful, budget-friendly solar shades are designed for preserving your beautiful view, while
reducing glare and incoming heat, as well as protecting your furnishings from UV rays|Great for windows that receive
direct sunlight at the daytime|Perfect choice for dinning room, living room, kitchen, French patio door and office|MEASUREMENT: The fabric width is 1” narrower than the total roller width, due to the brackets at the both ends|For
inside mount, window frame should have at least 2” depth, and our window roller shade will have a tiny light gap on each
side|To avoid light gap, consider the outside mount|For outside mount, shade should be 4” - 6” wider than window frame,
shade length should be at least 2” longer than the window length for better coverage",Sports & Recreation,NEW,,0.0
