invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
030525-3501-213320,2025-03-05,99.18,388,FULLFITALL Womens Swimsuits Plus Size Tankini Two,13.45,29.99,"Piece Bathing Suits Swimwear Patchwork Open Back Printed with
Black Bottom, Size 14
【High quality Material】 The two piece swimsuits for women are made of nylon and spandex, which is soft quick-drying
fabric|It's excellent elasticity for perfect fit and durable for long time wearing|【Unique Design Padded】 The padded push-up bra of two piece bathing suit is suitable for different kinds of breast
shapes and cups, offering great support and enhance your curve, brings you closer fitting|【Wide Application】 The two piece bathing suits for women feature both bright color and chic pattern|Swimwear for
women is perfect for swimming,beach parties, tropical vacations, summer vacation, honeymoon,hawaii,SPA, swimming
and various water activities",Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,394,Fullfitall Floral Swimsuit Size 14,7.34,29.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,395,Fullfitall Swimsuit Size 14,7.34,29.99,Item Qty Bid Amount Premium Fee Tax Total,General Merchandise,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,396,FULLFITALL Womens Swimsuits Plus Size Tankini Two,13.45,29.99,"Piece Bathing Suits Swimwear Patchwork Open Back Printed,
Size 14
【High quality Material】 The two piece swimsuits for women are made of nylon and spandex, which is soft quick-drying
fabric|It's excellent elasticity for perfect fit and durable for long time wearing|【Unique Design Padded】 The padded push-up bra of two piece bathing suit is suitable for different kinds of breast
shapes and cups, offering great support and enhance your curve, brings you closer fitting|【Wide Application】 The two piece bathing suits for women feature both bright color and chic pattern|Swimwear for
women is perfect for swimming,beach parties, tropical vacations, summer vacation, honeymoon,hawaii,SPA, swimming
and various water activities",Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,397,Prinstory Women's Casual Medium Print Clothing Item,3.67,19.99,No additional description provided in the invoice.,Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,402,Premium Ultra Soft Womens High Waisted Capri Leggings -,5.2,19.99,"Cropped - Capri Length Nude Beige Khaki - Plus Size Basic Yoga
Pants Tights",Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,407,"MANGDIUP Women's Classic Crewneck T-Shirt (Mocha, XL)",3.67,19.99,Item Qty Bid Amount Premium Fee Tax Total,Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,421,"Made by Design Non-Stick Cake Pan 9""x13""",4.89,19.99,"00
Nonstick coating
Great for baking cakes, bread and much more
Oven safe up to 450 degrees F",Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,450,"Bentex MAXXIM Seamless Leggings, Large",6.11,19.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,464,"GRECERELLE Women's Casual Colorblock Tunic, Leopard",8.56,19.99,"Black, Large",General Merchandise,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,466,"GRECERELLE Light Blue Floral Dress, Medium",5.96,19.99,Item Qty Bid Amount Premium Fee Tax Total,Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,478,"Bentex MAXXIM Seamless Leggings, Large",6.11,19.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,504,MOUEEY Women's Workout Hiking Shorts Running Athletic,7.34,19.99,"Gym Shorts with Pockets (Rosa Flower, X-Large)
Breathable & Soft Fabric: Stretch & Non See-through Fabric|Lightweight Quick-Dry Shorts and soft material can keep you
cool and comfortable when you exercising|Deep side pockets: Women's athletic short with pockets allow you to store your personal items and mobile phone, bring
more convenience to your life ,cheap womens shorts spent less money|Women workout shorts with drawstring, wide elastic waistband : Wide and Soft elastic waistband fits comfortably, pease
do not worry the shorts will falling down,adjustable drawstring,According to your personal preference, you can adjust the
tightness|Activewear & Loungewear style: women's Yoga shorts,athletic gym shorts are great for traveling, relaxing, running,
casual,sport and daily-life",Sports & Recreation,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,505,Souactimuy Women's Button Down Plaid Shirt,3.67,0.0,No additional description provided in the invoice.,Clothing & Accessories,NEW,,0.0
030525-3501-213320,2025-03-05,99.18,506,"Ribbed Midi Dress Orange, Large",2.45,0.0,Item Qty Bid Amount Premium Fee Tax Total,Home & Garden,NEW,,0.0
