invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
042425-3501-220504,2025-04-24,201.72,610,"L-Shaped Corner Desk, White",19.56,107.99,No additional description provided in the invoice.,Home & Garden,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,619,Abstract Modern Picture Wall Art: Blue Artwork Painting on,9.78,107.99,"Canvas for Office Living Room (45'' x 30"")
SIZE: This Abstract Painting Wall Art includes 1 panel, the panel size is 45’’Wx30’’H
Abstract Canvas Wall Art: Splash abstract art across your walls with this blue canvas wall art, showcasing thick, frantic
brushstrokes in deep hues of navy blue, cream, turquoise , gold, and white ( Multiple sizes available )
Modern Canvas Painting: These artful abstract wall artworks look lovely side by side, you can also hang them up in
different rooms to carry a cohesive aesthetic throughout your abode
Teal Abstract Canvas Artwork: Printed on premium quality canvas in high quality fade resistant ink, this abstract art
canvas wall is gallery wrapped over wooden bars, modern abstract texture painting artwork art for wall is ready to hang
right out of the box with wall mounting hardware included",Art & Crafts,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,627,"Regalo 56-Inch Extra WideSpan Walk Through Baby Gate,",2.45,64.99,"Includes 4-Inch, 8-Inch and 12-Inch Extension, 8 Piece Set - 4
Pack of Pressure Mounts and 4 Pack of Wall Cups and Mounting
Kit, White
Item Qty Bid Amount Premium Fee Tax Total
EASY TO USE: Pressure mount design is quick to set up
ADJUSTABLE: Includes one 4"" wide, one 8"" wide, and one 12"" wide extension, four pressure mount spindle rods, four wall cups,
and screws
DURABLE & CONVENIENT: Has steel design with walk-through door
SAFE: Includes multiple-lock features",Home & Garden,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,630,Coaster Home Furnishings Marbrisa Slat Back Side Chairs,28.12,175.0,"Sienna Brown (Set of 2)
Includes 2 side chairs
Material: Asian Hardwood
Finish in Sienna Brown
Assembled Dimensions: 22|25"" Depth x 19|75"" Width x 39"" Width
Seat Depth: 16|50"" Seat Height: 17|75"" Weight limit: 300 lbs",Home & Garden,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,638,Roomratv Flush Mount Ceiling Light with Night Light and,8.56,119.99,Remote Control,Electronics & Technology,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,640,Summer Infant Wood Banister & Stair Safety Pet and Baby,3.67,119.99,"Gate, 32""-48"" Wide, 33"" Tall, Install Banister to Banister or Wall, or
Wall to Wall in Doorway or Stairway, Banister and Hardware
Mounts
Item Qty Bid Amount Premium Fee Tax Total
The Summer Banister and Stair Dog and Baby Gate fits openings 32” to 48” wide and is 33"" tall; please measure opening
prior to purchase to ensure proper fit
With the dual installation kit, the wood gate can be attached to a wall or to most single and double square and round
banisters; no drilling required on square banisters
This baby gate accommodates banister-to-banister and banister to wall installation at the top or bottom of stairs, as well
as installation in doorways and hallways
Adults can easily open the toddler gate one-handed; the door opens the entire width of the gate so it's easy to walk
through and the no-threshold design minimizes tripping
Be sure it's secure with the locking indicator and a support foot that provides extra stability; the protrusion on the latch
prevents door from swinging outward over stairs; 3rd party safety tested and approved",Art & Crafts,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,642,"LED Picture Light Fixtures 16.54 Inches, Modern Metal",2.45,68.88,"Artwork Wall Lamps with Single Swing Arm, 9W (50W Eqv|),
Hardwire Connection, Non-Dimmable, 3000K Warm White
* Attractive Design: The led wall light is with slim and classic appearance with single swing arm; Enhance the looks of
your decorative pictures with its 3000K warm white|* Measurement：16|54 inches long, distance from the wall:7|Non-dimmable & un-replaceable light source|No plug on the fixture itself and no battery operated, just connect to the reserved wire directly|* Versatile Lighting: 90° swivel light head allows you to swing it upward or downward wherever you need the light focus
to be; 120° beam angle always light up a large area around your artwork drawings|* Premium Quality: Full metal construction for outstanding durability bathroom lights over mirror;Reliable quality and safe
usage|Low heat emission best preserves your artwork throughout its long service life
* Better Lighting Effect: 9W(50W Eqv|) brightness produces the perfect amount of lighting for your wall photos pictures|High CRI80+ and Mini Accent Spotlights lighting distribution make your beloved painting, poster, tapestry, diplomas a
focal point",Home & Garden,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,650,"Sun Smart Blakesly Blackout Curtains Patio Window, Ikat",4.89,36.99,"Print, Grommet Top Living Room Decor, Living Room Decor,
Thermal Insulated Light Blocking Drape for Bedroom and
Apartments, 100"" x 84"", Grey
Item Qty Bid Amount Premium Fee Tax Total
100% Polyester
Patio blinds features a printed grey ikat design on a textured base fabric, creating dimension for a cool and casual look|Blackout foamback liner offers privacy and noise reduction and maintains room temperature for energy efficiency|Easy to use silver gromment top fits up to 1|25"" diameter rod
1 Window Panel: 100""W x 84""L,As shown in image - Need to purchase 2 curtain panels for each window for standard
coverage|Care instructions: machine washable",Home & Garden,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,652,Hampton Bay Olgelthorpe 22 in. 3-Light Brushed Nickel,3.67,79.97,"Bathroom Vanity Light Fixture with Bell Shaped Frosted Glass
Shades
Includes white frosted glass bell shaped shades
Uses three medium base bulbs up to 60-Watt (not included)
LED light bulb compatible, use 60-watt equivalent
Can be mounted with shades facing up or down
Round wall plate measures 5 in|diameter
Shades are open at the bottom for easy light bulb access
Suitable for use in damp, indoor locations such as bathrooms
Transitional vanity light with modern appeal",Art & Crafts,NEW,,0.0
042425-3501-220504,2025-04-24,201.72,659,Shur-Line Edger Pro Paint Edger,2.45,5.99,"Item Qty Bid Amount Premium Fee Tax Total
Achieve professional painting results
Eliminates taping - save money and time
Retractable guide wheels ""flip up"" and out of the way while loading paint to ensure that no liquid is accidentally applied to
the wheels
Pad eject buttons for easy release keep hands clean
Ergonomic lightweight design reduces hand fatigue
Smooth rolling wheels allow you to create smooth, straight lines along trim, in corners and along ceiling
Offers a better finish than a brush with virtually no linting",Art & Crafts,NEW,,0.0
