invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
011825-3501-206970,2025-01-18,57.56,402,"LazBlinds No Tools No Drill 1"" Vinyl Mini Blinds, Cordless",2.45,42.49,"Blinds for Windows, Light Filtering Horizontal Window Blinds &
Shades, 30 1/2"" W x 64"" H, Grey
Inside Mount ONLY|For better internal installation, blinds width will 2/5"" narrower|Actual Blinds Size is 30 1/10"" W x 64""
H, the unique spring rod can extend 1 inch in total, allow the blind to fit for window width 30|1 inch, blind height can
adjust from 0"" to 64""|(Pls Note) Minimum 1 1/5"" depth of window frame required for inside mount|No Drill Blinds: LazBlinds patented technology No Tools-No Drill system allow it no need to drill any holes on your window
frame, perfect for Renter, Landlord, and Home Buyer|Easy to Install in 30 seconds|Cordless Blinds for Windows: Simply hold the bottom rail to lift or lower the blind down|No more exposed dangling cords|Providing a more modern and cleaner appearance to every room and a safe environment for home with pets and kids|Light Filtering: Switch between light filtering or room darkening by using the twisting wand|The tilt wand makes slats 180
degree turning to control light, block UV rays and provide privacy|Perfect for living room, family room, bedroom,
bathroom|Fit All Kinds of Walls, like woodiness metope, tile marble, concrete wall and rough tile|Won’t Fall Off: The Metal Top Rail
can afford maximum 30kg, absolutely safe to use",Tools & Hardware,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,414,"Room Essentials Storage Basket 18""x14""x9 3/4""",6.11,12.99,Item Qty Bid Amount Premium Fee Tax Total,Home & Garden,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,426,Men's Relaxed Fit Long Sleeve Scoop Thermal Underwear,3.67,10.0,"Shirt - Goodfellow & Co™ Size Large
Thermal underwear shirt in a solid hue
Cotton-recycled polyester blend fabric
Midweight construction
Scoop neckline
At-waist length
Ribbed cuffs
Tagless design",Clothing & Accessories,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,427,Women's Crewneck Pullover Sweater - A New Day™,4.89,25.0,"Long-sleeve jersey sweater
Midweight fabric blend of viscose, recycled polyester and nylon
Crewneck
Ribbed edges
Mid-length hem
Regular fit
Item Qty Bid Amount Premium Fee Tax Total",Home & Garden,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,428,Women's High-Rise Tapered Joggers - Wild Fable™ Size,4.89,25.0,"Large
High-rise joggers in solid color
Midweight, stretchy cotton blend
Elasticized waistband with drawstring
Tapered leg with a relaxed fit
Elastic-cinched ankles
Side pockets
Recycled polyester",Clothing & Accessories,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,429,Women's High-Rise Tapered Joggers - Wild Fable™ Size,6.11,25.0,"Large
High-rise joggers in solid color
Midweight, stretchy cotton blend
Elasticized waistband with drawstring
Tapered leg with a relaxed fit
Elastic-cinched ankles
Side pockets
Recycled polyester
Item Qty Bid Amount Premium Fee Tax Total",Clothing & Accessories,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,439,Women's High-Rise 90's Straight Jeans - Universal Thread™,2.45,36.0,Size 12,Art & Crafts,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,440,"Universal Thread Super Stretch Skinny Jeans, Size 14S",5.0,25.0,No additional description provided in the invoice.,Art & Crafts,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,457,Women's Leisure Studio Mid-Rise Knit Straight Leg,3.67,25.0,"Sweatpants - Universal Thread™ Size Large
Universal Thread mid-rise straight-leg sweatpants
Cotton-blend fabric
Straight leg with a regular fit
Full elastic waistband
Side seam pocket
Recycled polyester
Item Qty Bid Amount Premium Fee Tax Total",Art & Crafts,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,458,"Set of 2 Spritz 10"" Metallic Cake Serving Stand",2.45,20.0,"Round cake stand is perfect for displaying and serving baked goods
Made with shiny metal with a pedestal base
10in cake stand easily accommodates cake, cupcakes, pies and other desserts
Great for all your celebrations",General Merchandise,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,468,Isotoner Microsuede Gloves - S/M,3.67,24.99,"Keep a firm grip on everything you're juggling with the non-slip palm
Maximum flexibility and stretch with the classic look of iconic spandex material
Perfect for outdoor activities and on-the-go lifestyles",Clothing & Accessories,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,470,Set of 2 Range Kleen 2pk Universal Chrome Drip Bowls,2.45,17.98,"Item Qty Bid Amount Premium Fee Tax Total
2 Pack includes one small and one large drip bowl
Catches drips, spills and crumbs
Clean up is easy, wipe away messes with a damp cloth
Saves energy by reflecting heat toward cooking elements, saving your range energy
Fits all electric ranges with plug-in elements
Provides a safer cooking experience, a level fit ensures pots and pans will not rock on the stove
No tools required to install",Tools & Hardware,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,475,Set of 2 Modway High Back White Chairs,7.34,9.99,No additional description provided in the invoice.,Home & Garden,NEW,,0.0
011825-3501-206970,2025-01-18,57.56,477,Fresh Wave Plant-Based Odor Removing Gel 11oz,2.45,9.99,"Earned EPA's Safer Choice label for healthier, eco-friendly ingredients
Lasts 15-30/30-60 days depending on airflow|Neutralizes odor molecules, doesn't cover them up
No harsh chemicals, synthetic perfumes, alcohol, or phthalates
Non-toxic and safer for children, pets, and the planet",Health & Beauty,NEW,,0.0
