invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
101624-3501-194089,2024-10-16,37.9,583,USB C-Type Adapter,4.89,17.05,No additional description provided in the invoice.,Electronics & Technology,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,627,"Disposable Stretchable Headband with Closure, 48 Ct.",1.22,17.05,"Semi-reusable, machine wash",General Merchandise,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,649,"WaitfairyWomens Pants Light Grey, Size Large",4.89,14.99,No additional description provided in the invoice.,Clothing & Accessories,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,650,KIKIBERRY Womens Sleeveless Active Tank Tops,3.67,14.99,"Lightweight Ruffle Casual Loose Tunic Blouse Shirt Rose Red
Large, Rose Red, Large",Clothing & Accessories,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,653,Tie Dye Printed Sleepwear Size Large,4.89,40.0,No additional description provided in the invoice.,Clothing & Accessories,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,663,Amazon Essentials Mens Sherpa Lined Full-Zip Hooded,7.34,40.0,"Fleece Sweatshirt Size Small
Shell: 56% Cotton, 44% Polyester; Lining: 100% Polyester
lining_description lining
Zipper closure
Machine Wash",Clothing & Accessories,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,672,LETDIOSTO Women's Top Shirt Caramel Large,1.22,8.99,Item Qty Bid Amount Premium Fee Tax Total,Clothing & Accessories,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,673,"Dealmed 6"" Cotton-Tipped Wood Applicators – 200 Sterile",4.89,8.99,"Cotton-Tipped Applicators, Ideal for Application of Medication,
Cleaning Skin, Arts and Crafts and More
Dealmed 6"" Cotton-Tipped Wood Applicators – 200 Sterile Cotton-Tipped Applicators, Ideal for Application of Medication,
Cleaning Skin, Arts and Crafts and More
Ensure precision in application without any irritation with one end having a soft, flat cotton swab complete with firm
wooden shafts to improve accuracy and dexterity|These soft tip applicators are ideal for the application of medication, cleaning skin, at home use, arts & crafts and more|For easy use and convenience, each box is broken up into 100 pouches, with 2 soft cotton tipped applicators per pouch|Each sterile box contains a generous 200 cotton-tipped applicators for long lasting use",Art & Crafts,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,677,"Soiiw Nail Tool Sterilizer Box, Plastic Sterilization Tray",1.22,8.99,"Storage Organizer for Tweezer, Eyelash Extensions, Nail
Implement for Esthetician (White)
【Easy To Use】Put the tools in the tray and fill the box with disinfectant|And then close the cover|For best results,
ensure the tool is completely covered with disinfectant
【Durable & Sturdy Box】Our sterilizing box is make of high quality plastics, durable and solid, no odor,leak-proof
【Transparent Window】There is a transparent window in the top which you can clearly see the tools inside
【Convenient Tools Tray】The sterilizing Tray can be lift up automatically when the cover opens
【Note 】Please don't fill it too full, otherwise the liquid will easily overflow when you open it",Tools & Hardware,NEW,,0.0
101624-3501-194089,2024-10-16,37.9,684,"NICEBIRDIE Nose Hair Trimmer for Men Women, USB",3.67,12.99,"Rechargeable Electric Ear Nose Hair Trimmer Clipper, Professional
IPX7 Waterproof Dual Edge Blades for Easy Cleaning
Item Qty Bid Amount Premium Fee Tax Total
【PROFESSIONAL UPGRADE】Our nose hair trimmer crafted with high-quality materials and advanced stainless steel
blades, ensures precise and painless nose and ear hair removal without harming the skin|Our nose hair trimmers
undergo rigorous testing by a professional R&D and quality inspection team|If you have any questions about our electric
nose hair trimmer, please feel free to contact us|We will help get everything solved for you|【EFFICIENT & LOW NOISE】 With an 8000 rpm motor and a 360° rotation system, nose hair trimmer for men efficiently
removes nose and ear hair|The double-edged blade and 60° bevel protective cover design provide a quiet yet precise
trimming experience|【USB RECHARGEABLE & PORTABLE】Equipped with a USB-C rechargeable battery, providing up to 60 minutes of
usage on a full charge|The nose trimmer's compact, lightweight design makes it an ideal travel companion for on-the-go
grooming|【WATERPROOF & EASY CLEANING】Nose trimmers Designed for wet or dry use, allowing you to trim nose and ear
hair during bathing|Cleaning is a breeze – just rinse it with water after use",Health & Beauty,NEW,,0.0
