invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
042525-3501-220704,2025-04-25,223.71,104,"wansview Outdoor Security Camera, 1080P Wireless WiFi",30.56,24.97,"Home Surveillance Waterproof Camera with Night Vision, Motion
Detection, Remote Access
1080P HD with 2 Megapixel Lens: Wansview outdoor security camera is equiped with 2 Megapixel HD lens which delivers
crystal clear & smooth video day & night protect your home wherever you are Camera works with 2 4G WiFi（5G is not
supported）
Works with Alexa & Night Vision: Wansview home security camera works with Alexa you could ask your Echo Show Fire
TV to show your wansview wifi camera with 24pcs built-in infrared LED night vision distance up to 20 meters which gives
you a piece of mind day & night
IP 66 Waterproof: Wansview outdoor wifi camera is rated with IP66 the working temperature ranges from 14F to 104F
(-10℃·40℃)made with aluminum alloy it is vandalproof and can work well under harsh weather even in the storm and
snowy weather
Motion Detection & Alert: Wansview outdoor surveillance camera will capture motion activities a real-time notifications will
be sent to the phone open the wansview cloud app you could check what is happening immediately
Security and Privacy Protection: Financial Encryption Technology for cloud storage the highest protection of the data for
privacy No one could access to your information without your permission",Electronics & Technology,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,108,Hampton Bay 3-Light White Ceiling Spotlight,3.67,24.97,"3-head adjustable design allows you to direct light where you need it
Attractive white finish blends with any decor
Uses 3 light bulbs, 75-Watt maximum each (not included)
UL listed",Home & Garden,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,121,Convertible Backpack Messenger Shoulder bag Laptop Case,25.65,52.99,"Handbag Business Briefcase Multi-functional Travel Rucksack Fits
17|3 Inch Laptop For Men/Women (Grey)
Dimensions: 18|7 inches; Fits up to 17|3 inches laptop|Still more room for you to keep 2-3 days summer
clothes, ideal design for travel, business trip or work|3in1 convertible design|We can use it as backpack shoulder bag and messenger bag|Also the straps can be hidden
when you use it a messenger bag and shoulder bag|Why you should choose this bag: one bag pay and getting three
bags use|4 outside pockets, convenient to organize your items you want to carry, Just forget the pain point of finding things
anywhere|Roomy laptop compartment and accessory compartment|Special design laptop compartment with Telescopic belt
provides more protection for your laptop|Still keep 3 days clothes for traveling|Roomy enough for your need|Lightweight design is easy for carrying|The top grab handle offers quick grab-and-go style|Ergonomic design ensures
the dispersion of gravity of the fulled bag",Clothing & Accessories,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,122,"36"" Wood Mantel Shelf Brown - Hearth & Hand™ with",3.67,29.99,"Magnolia: Floating Wall Storage, Hanging Display
Mantel shelf offers a space-saving display
Provides ample storage space for small potted plants, picture frames and other decorative items
Natural wood finish blends well with any style of decor
Hanging wall shelf is easy to install",Home & Garden,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,127,Glass Cutting Board,12.23,84.98,Item Qty Bid Amount Premium Fee Tax Total,General Merchandise,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,129,Allen+Roth 21-in 3-Light Chrome Modern/Contemporary,2.45,84.98,"Vanity Light
Chrome finish and modern design will complement many styles
Includes elegant etched glass shades
Requires three 60-watt standard base bulbs (not included)",General Merchandise,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,133,Charcoal Grill,14.67,0.0,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,136,Duralast Gold C.V. Shaft Assembly,4.89,0.0,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,140,VCNY 84-inch Blackout Panel Pair Curtain,3.67,0.0,Item Qty Bid Amount Premium Fee Tax Total,Home & Garden,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,143,"BGment Privacy Blackout Curtain Panel 7ft Tall, Navy Blue",4.89,0.0,"100""x84""",Home & Garden,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,146,Mystery Item,30.56,0.0,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
042525-3501-220704,2025-04-25,223.71,149,Bamboo Pendant Light,7.34,0.0,No additional description provided in the invoice.,Art & Crafts,NEW,,0.0
